,Drug Name,Cell Line Name,ic50
659,ZM447439,RC-K8,2.5336266
660,UMI-77,SU-DHL-16,1.258501
661,UNC0379,D-336MG,2.5391426
662,AZD1332,MC116,2.8332262
663,615590,MOG-G-CCM,4.33718
664,SGC-CBP30,CTB-1,4.004072
665,Obatoclax Mesylate,D-542MG,1.2133532
666,123829,D-542MG,2.814314
667,630600,OCI-LY-19,0.5005827
668,PF-4708671,GRANTA-519,4.1746864
669,Carmustine,D-542MG,6.3823433
670,765771,LNZTA3WT4,3.899109
671,Remodelin,NU-DUL-1,3.9942245
672,SB505124,KS-1,5.1980066
673,BMS-345541,MOG-G-CCM,4.4849253
674,AZD5438,D-423MG,1.9224892
675,CCT-018159,AM-38,2.684514
676,PLX-4720,LNZTA3WT4,4.451659
677,Acetalax,CRO-AP2,4.045576
678,Topotecan,SU-DHL-4,-2.6124516
679,729189,no-11,4.1904097
680,Dihydrorotenone,YKG-1,1.8892927
681,AZD1208,LNZTA3WT4,5.2593355
682,GSK2110183B,OCI-LY-19,2.9411964
683,PF-4708671,GI-1,3.535202
684,CCT-018159,DB,2.7399578
685,776928,Hs-683,4.238241
686,PF-4708671,SU-DHL-10,2.566616
687,PF-4708671,SW1088,4.8109417
688,Cytarabine,CTB-1,-0.63836527
689,Bicalutamide,U251,5.087467
690,Gallibiscoquinazole,NMC-G1,5.112604
691,123138,JEKO-1,1.4552746
692,GSK-LSD1,JEKO-1,1.7281628
693,Podophyllotoxin bromide,D-247MG,-0.20105982
694,MIM1,DOHH-2,2.0292091
695,Vincristine,MOG-G-CCM,-0.90733004
696,741909,SF126,1.9643898
697,SL0101,KALS-1,5.518301
698,615590,JM1,2.7947931
699,GSK269962A,8-MG-BA,1.342392
700,Acetalax,JM1,3.6551943
701,CHIR-99021,DK-MG,4.9236784
702,Elephantin,JEKO-1,1.5425196
703,Vinblastine,SF295,-3.411025
704,PF-4708671,H4,3.6332264
705,UNC0379,MC116,1.2060537
706,123138,D-542MG,2.3779469
707,GSK-LSD1,D-542MG,3.283452
708,615590,D-566MG,3.395876
709,720427,Hs-683,3.2383127
710,GSK-LSD1,NU-DUL-1,1.9401131
711,123138,NU-DUL-1,2.1366625
712,Tozasertib,DK-MG,4.498845
713,Mycophenolic acid,D-336MG,0.82907677
714,ICL-SIRT078,OCI-LY-19,2.408823
715,729189,LNZTA3WT4,3.7885933
716,Ruxolitinib,WSU-DLCL2,3.2983894
717,I-BET-762,MOG-G-UVW,1.6481657
718,IOX2,GRANTA-519,2.3424072
719,Erlotinib,LNZTA3WT4,2.7010221
720,765771,SNB75,4.4117317
721,Carmustine,MC116,4.656513
722,743380,MOG-G-CCM,2.3464136
723,AZD5153,D-336MG,1.5181904
724,AZD5991,CRO-AP2,-2.783162
725,123829,CRO-AP2,1.8329849
726,SB505124,DBTRG-05MG,6.290517
727,667880,JM1,-0.09292698
728,GSK2830371,KNS-81-FD,5.4188595
729,50869,JM1,1.3223896
730,743380,KNS-42,2.8709974
731,GSK2801,D-566MG,4.4049196
732,TW 37,A3-KAW,-0.7371855
733,Remodelin,NMC-G1,6.579772
734,Dinaciclib,WSU-DLCL2,-4.47274
735,CCT-018159,SK-MG-1,3.6539392
736,Daporinad,GRANTA-519,-4.5101004
737,Tozasertib,M059J,2.957159
738,Acetalax,NMC-G1,6.6920986
739,L-Oxonoreleagnine,SNB75,3.532074
740,743380,D-542MG,2.2695951
741,Remodelin,JEKO-1,3.7166958
742,Tozasertib,KARPAS-1106P,0.74959755
743,GSK269962A,TUR,0.6411028
744,CPI-637,YKG-1,5.0343513
745,776928,no-11,5.2448664
746,OF-1,LNZTA3WT4,4.766204
747,Piperlongumine,DBTRG-05MG,5.1007977
748,Acetalax,YKG-1,5.605442
749,CHIR-99021,SCC-3,3.3125687
750,AZD5438,RL,1.0748796
751,Elesclomol,AM-38,-1.9425988
752,Topotecan,SU-DHL-16,-2.866784
753,Gallibiscoquinazole,OCI-LY-19,1.329361
754,Acetalax,MOG-G-CCM,5.7515936
755,Tretinoin,MOG-G-UVW,4.119916
756,GSK269962A,42-MG-BA,0.58497906
757,Zoledronate,no-11,4.0955477
758,Fludarabine,D-566MG,4.4996843
759,Remodelin,D-542MG,5.044566
760,IOX2,DB,0.885767
761,Mitoxantrone,SU-DHL-4,-2.3564954
762,EHT-1864,U-87-MG,4.602351
763,PF-4708671,U-87-MG,4.332096
764,glutathione,MC116,8.217882
765,CCT-018159,SU-DHL-6,1.8814154
766,Dihydrorotenone,D-502MG,1.8243752
767,Tretinoin,KALS-1,3.9219608
768,GSK269962A,U-87-MG,2.5277338
769,123829,NU-DUL-1,2.1984777
770,Luminespib,LNZTA3WT4,-2.931334
771,PF-4708671,GB-1,4.272456
772,BEN,SNB75,5.3746815
773,BX795,A3-KAW,0.7851906
774,AZD8055,NMC-G1,3.5809193
775,Carmustine,no-10,5.6794453
776,Podophyllotoxin bromide,SF295,-0.5122433
777,Entospletinib,WSU-DLCL2,2.9272842
778,Fludarabine,D-423MG,5.3218403
779,AZD1208,SNB75,5.34743
780,50869,YKG-1,2.8551846
781,CHIR-99021,SK-MG-1,4.3575916
782,ICL-SIRT078,Hs-683,4.0705366
783,50869,MOG-G-CCM,3.1299314
784,CCT-018159,8-MG-BA,2.9300861
785,IOX2,SU-DHL-8,0.3186512
786,TW 37,CRO-AP2,0.07651043
787,Gallibiscoquinazole,JEKO-1,1.2646627
788,Dacarbazine,D-423MG,4.5376577
789,Bleomycin,WSU-DLCL2,2.0632925
790,AZD1332,KNS-42,4.673975
791,AZD5582,D-566MG,3.256651
792,Cisplatin,SU-DHL-16,0.11818504
793,IOX2,DK-MG,2.1304512
794,CHIR-99021,42-MG-BA,3.981886
795,Serdemetan,RC-K8,3.8386068
796,5-azacytidine,JM1,0.53323174
797,Daporinad,GB-1,-1.4647751
798,Dihydrorotenone,SF126,1.0180836
799,Remodelin,CTB-1,4.840685
800,LMP744,JM1,-3.2167869
801,Serdemetan,U-87-MG,4.590267
802,AZD5438,YKG-1,2.7677736
803,Gallibiscoquinazole,D-542MG,2.2638874
804,LGK974,LNZTA3WT4,4.41158
805,123829,MOG-G-CCM,2.153307
806,CHIR-99021,DBTRG-05MG,6.2041407
807,Piperlongumine,SCC-3,1.1044722
808,Mitoxantrone,no-10,0.5750208
809,Bromosporine,NMC-G1,6.7486324
810,Romidepsin,NU-DUL-1,-6.5679264
811,Bicalutamide,KARPAS-1106P,3.547761
812,Tozasertib,DBTRG-05MG,5.551876
813,SL0101,KARPAS-422,4.726618
814,BEN,D-336MG,4.8932056
815,BEN,MC116,1.966218
816,CCT-018159,M059J,3.1006536
817,GSK343,LNZTA3WT4,3.5154018
818,Refametinib,RC-K8,3.6112852
819,CCT-018159,KARPAS-1106P,2.8969927
820,GSK2801,RL,4.5307446
821,Sinularin,D-423MG,2.487894
822,Topotecan,D-502MG,1.0407076
823,Dinaciclib,JSC-1,-3.932374
824,CCT-018159,TK,3.0777836
825,729189,CTB-1,2.9687185
826,TW 37,8-MG-BA,0.4776821
827,Refametinib,U-87-MG,2.336115
828,GSK269962A,KS-1,1.3431044
829,Schweinfurthin A,CTB-1,-1.9662619
830,SL0101,GAMG,4.9494305
831,AZD1332,MOG-G-UVW,2.2114935
832,Cytarabine,no-11,4.364786
833,Elesclomol,Becker,-1.748847
834,TW 37,JM1,-0.040058136
835,LMP744,RL,-3.9092612
836,Zoledronate,KNS-81-FD,3.8824406
837,AZD8055,no-10,0.32773304
838,Cisplatin,NMC-G1,5.098961
839,BX795,SW1088,2.9552479
840,BX795,SU-DHL-10,1.0887499
841,5-azacytidine,RL,0.94594383
842,123829,NMC-G1,5.8386755
843,Ibrutinib,LNZTA3WT4,4.466551
844,SB590885,U-87-MG,4.536339
845,SL0101,YH-13,4.571082
846,Picolinici-acid,WSU-DLCL2,4.165881
847,GSK2830371,D-423MG,4.172226
848,glutathione,D-336MG,9.313364
849,GSK2110183B,RL,2.364956
850,Remodelin,T98G,5.158061
851,Dactinomycin,LNZTA3WT4,-3.729238
852,Bleomycin,Hs-683,1.7613316
853,AZD5991,MC116,-0.34052277
854,UNC0638,SF126,4.3056297
855,Piperlongumine,GAMG,1.969944
856,Zoledronate,MOG-G-CCM,5.0451555
857,IOX2,RC-K8,1.5096979
858,Tozasertib,D-263MG,3.2462368
859,Elephantin,JM1,1.9713173
860,LY2109761,WSU-DLCL2,4.2646513
861,CHIR-99021,D-263MG,4.701623
862,BX795,CAS-1,3.143484
863,GSK269962A,TK,2.0846453
864,CHIR-99021,KS-1,5.3195696
865,Carmustine,LNZTA3WT4,6.3370314
866,AZD1208,SU-DHL-16,3.4751196
867,IOX2,H4,1.9420214
868,Remodelin,KNS-42,5.0657597
869,Sinularin,LNZTA3WT4,3.2300014
870,Bicalutamide,SU-DHL-6,2.8490877
871,Tretinoin,SLVL,4.0337667
872,Tretinoin,KARPAS-422,3.7872438
873,Piperlongumine,WSU-DLCL2,1.2856588
874,PF-4708671,SK-MG-1,4.0532274
875,Fludarabine,OCI-LY-19,3.3847494
876,AZD6482,KALS-1,3.1860342
877,SB505124,CAS-1,5.6534595
878,150412,NU-DUL-1,2.592658
879,AZD6738,LNZTA3WT4,1.4242
880,Romidepsin,NMC-G1,-2.0722265
881,GSK269962A,U-118-MG,2.6075716
882,POMHEX,DOHH-2,-1.310163
883,Mycophenolic acid,Hs-683,0.021079063
884,Cediranib,LNZTA3WT4,1.4901648
885,L-Oxonoreleagnine,JEKO-1,2.4222374
886,630600,NMC-G1,6.6027727
887,Bicalutamide,LN-405,5.1432705
888,Bicalutamide,SK-MG-1,4.3496456
889,IOX2,TK,1.3895321
890,667880,SF295,0.82294273
891,CHIR-99021,TK,3.6782455
892,UNC0638,SF295,4.6620264
893,PFI3,WSU-DLCL2,4.1012945
894,741909,YKG-1,2.001196
895,GSK2830371,SF126,4.7029104
896,Podophyllotoxin bromide,NMC-G1,2.7578993
897,AZD5153,SF126,2.2173243
898,LMP744,YKG-1,-1.2204618
899,IWP-2,WSU-DLCL2,1.6108046
900,Cisplatin,NU-DUL-1,0.69838524
901,729189,SF295,3.292058
902,N-acetyl cysteine,YKG-1,10.308893
903,Gallibiscoquinazole,no-10,2.0248337
904,Vinblastine,CRO-AP2,-6.3407927
905,AZD6482,A4-Fuk,1.390542
906,Bleomycin,JEKO-1,1.5026903
907,Vincristine,CTB-1,-5.1650944
908,PF-4708671,LN-405,4.519738
909,729189,D-336MG,3.6292667
910,Vincristine,D-423MG,-3.2051811
911,Sinularin,SF126,2.494978
912,ICL-SIRT078,GI-1,4.6980734
913,LMP744,SU-DHL-4,-3.5955772
914,Schweinfurthin A,D-336MG,-0.35575628
915,Bromosporine,D-502MG,4.4448385
916,CCT-018159,VAL,2.8653498
917,123138,KNS-81-FD,2.6690168
918,GSK2801,D-247MG,5.465785
919,GSK-LSD1,KNS-81-FD,3.5001583
920,630600,KNS-81-FD,3.203473
921,667880,SU-DHL-16,-1.2964139
922,630600,JM1,-0.12034941
923,TW 37,YKG-1,1.4689751
924,729189,RL,3.2143278
925,Bicalutamide,MOG-G-UVW,4.860177
926,BX795,A172,2.6908464
927,Fludarabine,MOG-G-UVW,5.2504997
928,776928,CRO-AP2,1.8591833
929,743380,CTB-1,1.7601776
930,Vincristine,SU-DHL-16,-5.5446687
931,Podophyllotoxin bromide,MOG-G-UVW,-1.5577683
932,UNC0638,KNS-42,4.7603674
933,GSK269962A,WSU-DLCL2,0.24106312
934,SL0101,42-MG-BA,4.987808
935,BEN,Hs-683,3.6137762
936,BMS-345541,OCI-LY-19,2.1963282
937,Mitoxantrone,MOG-G-UVW,-1.1248612
938,Zoledronate,SNB75,4.1914463
939,GSK2801,NMC-G1,7.241102
940,AZD2014,SU-DHL-4,2.205349
941,CCT-018159,H4,1.971467
942,Fludarabine,LNZTA3WT4,4.3603735
943,667880,D-423MG,0.70045376
944,Romidepsin,CTB-1,-5.919547
945,Bromosporine,KNS-42,4.1525335
946,Topotecan,D-542MG,2.6255407
947,Mycophenolic acid,no-11,2.5769062
948,Sinularin,WSU-DLCL2,2.095129
949,AZD8055,D-502MG,0.7649269
950,Mycophenolic acid,D-566MG,0.6409664
951,Tretinoin,A3-KAW,2.813983
952,AZD6482,DBTRG-05MG,5.5377207
953,SL0101,DK-MG,5.5841284
954,ICL-SIRT078,KNS-42,5.1059685
955,123829,RL,1.6439447
956,PF-4708671,D-263MG,4.245759
957,BX795,GI-1,2.1087294
958,630600,CTB-1,-0.18265915
959,UNC0379,SU-DHL-4,2.4416351
960,GSK269962A,AM-38,1.7721796
961,Teniposide,KNS-81-FD,2.563138
962,Bleomycin,SF295,1.9881029
963,Veliparib,U-87-MG,5.4308176
964,glutathione,U-87-MG,9.740633
965,GSK2110183B,YKG-1,3.4158964
966,Bicalutamide,AM-38,4.3408146
967,IOX2,DBTRG-05MG,3.578661
968,Schweinfurthin A,CRO-AP2,-2.4140668
969,IOX2,SCC-3,0.9569464
970,CPI-637,CRO-AP2,1.3404064
971,BEN,RL,3.4282618
972,150412,D-423MG,2.7434063
973,ICL-SIRT078,MC116,2.7665768
974,150412,SF295,3.5037527
975,Vincristine,NMC-G1,1.9023914
976,N-acetyl cysteine,D-502MG,10.35195
977,741909,D-502MG,2.2667522
978,SL0101,JSC-1,4.562792
979,GSK2801,SU-DHL-16,3.4520378
980,Piperlongumine,KS-1,2.5810347
981,UNC0638,SU-DHL-4,2.495329
982,Teniposide,LNZTA3WT4,0.327116
983,Tretinoin,KARPAS-1106P,3.8833551
984,OTX015,MOG-G-CCM,2.6644526
985,EPZ5676,MC116,3.6356554
986,Tozasertib,D-392MG,4.422611
987,Acetalax,SU-DHL-16,4.2270813
988,CHIR-99021,GRANTA-519,4.7285976
989,CHIR-99021,D-392MG,5.470153
990,Zoledronate,D-566MG,3.0460234
991,765771,KNS-42,4.059182
992,PF-4708671,SCC-3,2.9148483
993,IOX2,LN-18,2.0658712
994,Nelarabine,D-566MG,5.715411
995,Rucaparib,RC-K8,3.8962307
996,GSK269962A,SCC-3,1.2008419
997,Zoledronate,JM1,1.8665113
998,Elephantin,WSU-DLCL2,1.2929516
999,PF-4708671,GAMG,4.401781
1000,SL0101,A3-KAW,4.1990356
1001,SL0101,KS-1,4.868808
1002,GSK2801,SNB75,5.401573
1003,UMI-77,SF126,2.1691885
1004,5-azacytidine,D-542MG,3.3836174
1005,123138,SNB75,2.9552803
1006,GSK-LSD1,SNB75,3.597125
1007,Romidepsin,KNS-42,-5.2437987
1008,SGC-CBP30,D-542MG,4.8510103
1009,Podophyllotoxin bromide,D-423MG,-1.1683831
1010,765771,no-11,4.6609697
1011,Cisplatin,CRO-AP2,0.81096935
1012,50869,SU-DHL-16,0.008962631
1013,CZC24832,MOG-G-CCM,5.2320137
1014,Gallibiscoquinazole,JM1,1.0777445
1015,630600,SF126,1.8414717
1016,720427,KNS-42,4.1738644
1017,Cytarabine,D-542MG,3.4267359
1018,743380,D-336MG,1.5744305
1019,Acetalax,OCI-LY-19,3.9136667
1020,AZD2014,D-247MG,1.3334646
1021,AZD5153,MOG-G-CCM,2.4335032
1022,AZD5438,D-502MG,3.695425
1023,SB505124,U-87-MG,4.422945
1024,743380,D-502MG,2.2983503
1025,AZD5153,Hs-683,1.2303534
1026,Mitoxantrone,RL,-2.5126348
1027,Topotecan,OCI-LY-19,-3.6278949
1028,GSK2606414,A3-KAW,2.173108
1029,Romidepsin,Hs-683,-5.955557
1030,UNC0379,D-566MG,3.0197926
1031,667880,D-336MG,0.7645216
1032,IOX2,SU-DHL-5,0.7793474
1033,Tozasertib,TUR,1.5206537
1034,AZD6482,DB,3.6514778
1035,Cisplatin,D-566MG,2.0226994
1036,Cytarabine,JEKO-1,-0.9489193
1037,720427,RL,3.7539434
1038,TW 37,D-423MG,0.98799133
1039,630600,Hs-683,2.254386
1040,Cytarabine,SF126,0.050367355
1041,NU7441,U-87-MG,4.056328
1042,AZD5438,NU-DUL-1,-0.27026796
1043,Elesclomol,8-MG-BA,-2.268528
1044,Nelarabine,no-10,5.8943205
1045,Piperlongumine,U-87-MG,3.2430887
1046,GSK2801,SF126,4.8259687
1047,GSK269962A,SU-DHL-6,-0.10321903
1048,UNC0379,no-10,3.4449396
1049,SB505124,Becker,5.2391376
1050,Dacarbazine,OCI-LY-19,4.432266
1051,Mycophenolic acid,D-542MG,1.7130508
1052,5-azacytidine,KNS-42,3.2197895
1053,50869,OCI-LY-19,0.2838621
1054,720427,CRO-AP2,3.2828035
1055,UMI-77,MC116,1.4827223
1056,615590,YKG-1,4.0815773
1057,AZD5582,MOG-G-CCM,2.947361
1058,UMI-77,D-336MG,2.5875998
1059,GSK269962A,U251,2.6957264
1060,TW 37,JSC-1,-0.37643957
1061,IOX2,CAS-1,2.440693
1062,CHIR-99021,KARPAS-422,3.6955528
1063,CHIR-99021,VAL,2.8318167
1064,AZD1208,JM1,3.3822165
1065,AZD1208,NU-DUL-1,3.9131737
1066,UMI-77,SF295,2.2720404
1067,Elesclomol,YH-13,-1.8589292
1068,765771,D-542MG,3.7349577
1069,720427,SF126,3.3910465
1070,Rapamycin,CRO-AP2,-5.5615134
1071,Dacarbazine,YKG-1,5.59566
1072,SB505124,H4,4.1971636
1073,Piperlongumine,SU-DHL-5,0.57663536
1074,Dihydrorotenone,MOG-G-CCM,1.0017815
1075,Piperlongumine,Becker,2.997383
1076,UNC0638,NMC-G1,7.232995
1077,Dihydrorotenone,WSU-DLCL2,0.8039465
1078,glutathione,no-11,9.9322605
1079,776928,OCI-LY-19,3.0000792
1080,CHIR-99021,Becker,5.0459557
1081,CCT-018159,LN-18,3.6096363
1082,Elesclomol,U-118-MG,-1.3145819
1083,alpha-lipoic acid,D-542MG,8.152655
1084,630600,SF295,2.1638947
1085,Bicalutamide,GAMG,4.6773157
1086,AZD5438,SU-DHL-4,0.9001999
1087,Vinblastine,D-566MG,-4.451249
1088,Bromosporine,D-423MG,2.8684578
1089,150412,KNS-42,3.768835
1090,Gallibiscoquinazole,WSU-DLCL2,1.482358
1091,GSK2830371,NMC-G1,7.7520027
1092,BEN,NMC-G1,6.4230127
1093,AZD5438,no-10,2.516039
1094,Nelarabine,RL,5.047081
1095,Carmustine,D-423MG,5.417014
1096,667880,OCI-LY-19,-0.57877254
1097,Acetalax,D-566MG,4.678564
1098,Remodelin,YH-13,5.2614975
1099,Carmustine,SF295,5.819911
1100,Topotecan,D-247MG,2.436018
1101,Daporinad,SF268,-2.8162808
1102,AZD1332,MOG-G-CCM,2.895648
1103,BX795,WSU-DLCL2,1.8258038
1104,Bicalutamide,LN-18,4.4362793
1105,Zoledronate,D-542MG,3.7615194
1106,PF-4708671,U251,4.304041
1107,Gallibiscoquinazole,NU-DUL-1,1.9028654
1108,UNC0638,JM1,2.4097347
1109,AZ960,MOG-G-UVW,-0.10933161
1110,667880,KNS-81-FD,1.7198133
1111,GSK269962A,KARPAS-1106P,0.9096956
1112,729189,no-10,3.1490288
1113,Zoledronate,LNZTA3WT4,3.6732426
1114,Topotecan,KNS-42,2.0480642
1115,776928,SF295,4.7110662
1116,Piperlongumine,U-118-MG,2.8689737
1117,RVX-208,LNZTA3WT4,5.1378403
1118,630600,SU-DHL-16,-0.38573074
1119,I-BRD9,LNZTA3WT4,4.735236
1120,GSK-LSD1,SU-DHL-16,1.5634346
1121,123138,SU-DHL-16,1.4739056
1122,PF-4708671,SF268,4.646455
1123,Gallibiscoquinazole,KNS-81-FD,2.1341047
1124,Daporinad,U-118-MG,-3.3722415
1125,Remodelin,WSU-DLCL2,4.3065596
1126,Elesclomol,SW1088,-1.8502545
1127,Elesclomol,SU-DHL-10,-3.6072826
1128,Carmustine,CRO-AP2,4.104953
1129,L-Oxonoreleagnine,OCI-LY-19,2.220004
1130,A-366,CRO-AP2,3.4001656
1131,Acetalax,WSU-DLCL2,4.8558197
1132,Tozasertib,SU-DHL-5,-1.5526333
1133,AZD6482,8-MG-BA,3.054079
1134,Elephantin,SU-DHL-16,1.4843445
1135,Gallibiscoquinazole,Hs-683,1.8309021
1136,Tretinoin,AM-38,3.8616447
1137,123138,D-423MG,2.2257957
1138,GSK-LSD1,D-423MG,2.4904213
1139,ICL-SIRT078,SF126,4.05445
1140,Vincristine,MC116,-5.1195745
1141,AZD6482,TK,4.0006247
1142,AZD8055,KNS-81-FD,0.39409637
1143,Obatoclax Mesylate,SF295,0.8016319
1144,Sinularin,YKG-1,3.387721
1145,BX795,H4,1.2917595
1146,PF-4708671,KALS-1,4.4060783
1147,Schweinfurthin A,no-11,1.3964157
1148,AZD5153,SNB75,2.8584595
1149,CPI-637,SF295,4.552603
1150,667880,Hs-683,0.3193102
1151,Bleomycin,MC116,0.8215351
1152,Foretinib,GI-1,0.8534603
1153,Bleomycin,LNZTA3WT4,2.589797
1154,Topotecan,KNS-81-FD,1.6396513
1155,Vinblastine,JEKO-1,-5.870678
1156,Mitoxantrone,CRO-AP2,-2.6150188
1157,Nelarabine,D-502MG,6.86137
1158,LCL161,WSU-DLCL2,3.425292
1159,Wee1 Inhibitor,LNZTA3WT4,1.9373455
1160,GSK2110183B,LNZTA3WT4,2.9808235
1161,GSK269962A,SLVL,0.92099
1162,Tozasertib,42-MG-BA,2.3163424
1163,Nelarabine,MOG-G-UVW,6.114642
1164,AZD6482,TUR,3.050025
1165,GSK2578215A,LNZTA3WT4,4.945856
1166,Obatoclax Mesylate,CTB-1,1.7854805
1167,GSK2830371,JEKO-1,2.8759518
1168,SL0101,MOG-G-UVW,4.8408785
1169,AZD2014,WSU-DLCL2,0.9208183
1170,Remodelin,Hs-683,4.8953667
1171,Tretinoin,SCC-3,3.5270052
1172,AZD5991,no-10,3.6075907
1173,Zoledronate,WSU-DLCL2,2.40598
1174,AZD5153,JEKO-1,-0.7597709
1175,GSK-LSD1,D-502MG,3.9452543
1176,TW 37,A172,0.77193165
1177,123138,D-502MG,3.2960196
1178,alpha-lipoic acid,NU-DUL-1,6.533002
1179,L-Oxonoreleagnine,D-247MG,3.5694103
1180,AZD6482,U-87-MG,4.062538
1181,615590,D-247MG,4.0136995
1182,743380,Hs-683,0.8786802
1183,BEN,D-502MG,4.8388023
1184,BMS-754807,U-87-MG,2.8658657
1185,AZD5153,D-542MG,2.3050728
1186,L-Oxonoreleagnine,WSU-DLCL2,2.8212833
1187,Teniposide,SU-DHL-4,-2.032814
1188,765771,NU-DUL-1,1.7524414
1189,Bleomycin,no-10,2.535468
1190,Cytarabine,MC116,-1.3492808
1191,Elesclomol,SF539,-2.3474226
1192,IOX2,U-87-MG,2.060997
1193,CHIR-99021,SLVL,4.3047543
1194,Teniposide,D-423MG,-1.2883072
1195,GSK2801,D-336MG,4.950679
1196,SL0101,DB,4.625452
1197,Schweinfurthin A,LNZTA3WT4,0.17731667
1198,Tretinoin,SF268,4.9868765
1199,765771,D-247MG,3.9062805
1200,CCT-018159,SW1088,3.4184246
1201,CCT-018159,SU-DHL-10,1.5841141
1202,GSK2830371,D-566MG,4.9375954
1203,Gallibiscoquinazole,SU-DHL-16,1.1608534
1204,Tozasertib,SLVL,0.4549265
1205,AZD6482,Becker,4.084324
1206,BMS-345541,WSU-DLCL2,1.4388132
1207,5-azacytidine,Hs-683,2.151371
1208,AMG-319,SU-DHL-6,1.322712
1209,765771,WSU-DLCL2,1.3642693
1210,UNC0379,CTB-1,0.40166092
1211,BX795,DBTRG-05MG,5.1865253
1212,123829,WSU-DLCL2,2.4867058
1213,Obatoclax Mesylate,D-502MG,0.831069
1214,AZD5991,NU-DUL-1,-2.4466257
1215,SL0101,SU-DHL-6,3.706544
1216,SGC-CBP30,D-336MG,4.8263416
1217,A-366,SU-DHL-16,3.2160788
1218,5-azacytidine,KNS-81-FD,3.3519526
1219,Gallibiscoquinazole,D-423MG,1.8598146
1220,Daporinad,LN-229,-2.08032
1221,Elesclomol,RC-K8,-2.946176
1222,ABT737,LNZTA3WT4,1.3694038
1223,MN-64,MOG-G-CCM,5.1194744
1224,Nelarabine,D-336MG,5.781582
1225,MIM1,CRO-AP2,3.0766878
1226,Carmustine,NU-DUL-1,4.735508
1227,SL0101,DBTRG-05MG,7.069523
1228,741909,KNS-81-FD,4.1763687
1229,AZD6482,DK-MG,3.1884422
1230,741909,MOG-G-CCM,2.2341518
1231,N-acetyl cysteine,D-247MG,10.37731
1232,IOX2,D-263MG,2.3408775
1233,Tretinoin,GAMG,3.7486134
1234,AZD1332,SU-DHL-4,3.0452223
1235,5-azacytidine,NU-DUL-1,0.9893446
1236,720427,KNS-81-FD,4.107296
1237,AZD1208,KNS-81-FD,5.381463
1238,CCT-018159,LNZTA3WT4,3.5791368
1239,TW 37,MC116,-0.001663208
1240,Obatoclax Mesylate,SF126,0.5777941
1241,Tozasertib,SF268,3.329979
1242,MIM1,SU-DHL-16,2.6626806
1243,IWP-2,MOG-G-UVW,3.281128
1244,CCT-018159,A3-KAW,1.2596416
1245,SB505124,SCC-3,3.5721102
1246,Schweinfurthin A,OCI-LY-19,-2.2183838
1247,667880,no-11,2.7720137
1248,741909,CTB-1,1.871254
1249,615590,MOG-G-UVW,3.99753
1250,667880,D-566MG,1.3779726
1251,UNC0638,D-566MG,4.2149286
1252,Elephantin,NU-DUL-1,0.83132076
1253,PF-4708671,D-392MG,4.4977684
1254,Romidepsin,WSU-DLCL2,-6.6893964
1255,Carmustine,Hs-683,5.8002996
1256,SL0101,GB-1,5.123165
1257,765771,KNS-81-FD,4.518675
1258,123829,Hs-683,1.6526709
1259,MIM1,D-423MG,3.1361113
1260,IOX2,T98G,2.343565
1261,630600,WSU-DLCL2,-0.7663574
1262,Elephantin,no-11,5.3053436
1263,Bicalutamide,SLVL,4.1303606
1264,SB505124,U-118-MG,5.4334106
1265,AZD1332,RL,3.1528397
1266,UMI-77,no-11,2.884674
1267,Romidepsin,D-502MG,-4.9894285
1268,TW 37,NU-DUL-1,-0.2692113
1269,BEN,SF126,4.2077913
1270,SGC-CBP30,MOG-G-UVW,4.7453136
1271,Bromosporine,JM1,1.8204718
1272,Tozasertib,8-MG-BA,1.2476187
1273,AZD5153,D-502MG,3.8837976
1274,Podophyllotoxin bromide,WSU-DLCL2,-2.1475406
1275,630600,D-502MG,3.4110422
1276,GSK2110183B,MC116,0.7554836
1277,UNC0638,SU-DHL-16,1.8583212
1278,Daporinad,U251,-1.9767466
1279,WZ4003,MOG-G-UVW,4.4246054
1280,GSK2110183B,SF295,2.3915148
1281,ICL-SIRT078,CTB-1,2.535349
1282,UNC0379,SU-DHL-16,1.0744429
1283,Leflunomide,MOG-G-CCM,5.832143
1284,Sinularin,MOG-G-UVW,2.6918764
1285,EPZ5676,LNZTA3WT4,5.3889217
1286,PF-4708671,8-MG-BA,3.6973276
1287,glutathione,D-566MG,9.334377
1288,150412,JEKO-1,2.3067293
1289,AZD5991,MOG-G-UVW,1.8729897
1290,SL0101,SU-DHL-5,3.842534
1291,Carmustine,no-11,6.8092203
1292,glutathione,JM1,8.517086
1293,Fludarabine,NU-DUL-1,3.9126358
1294,A-366,no-10,3.8812227
1295,123829,OCI-LY-19,1.8510437
1296,Topotecan,NU-DUL-1,-2.8822207
1297,UMI-77,RL,1.784214
1298,Vincristine,D-247MG,-0.7808056
1299,GSK2110183B,CTB-1,2.3843327
1300,SL0101,H4,4.2107944
1301,MIM1,D-502MG,3.9038525
1302,Elesclomol,KARPAS-422,-2.6278439
1303,Bromosporine,KNS-81-FD,4.5970526
1304,SB505124,WSU-DLCL2,1.6240063
1305,GSK269962A,SF268,2.7495937
1306,TW 37,SF295,0.6109905
1307,MIM1,CTB-1,2.616724
1308,Sinularin,NMC-G1,6.2226315
1309,SGC-CBP30,KNS-81-FD,4.894435
1310,Bleomycin,SU-DHL-16,1.8251066
1311,Dihydrorotenone,RL,-0.16777182
